"Select Store:", "Store:"
"Add to Wishlist", "Wishlist"
"Add to Compare", "Compare"
"Details", "Full Description"
"Additional Information", "Additional Informations"
"Customer Reviews", "Users Reviews"
"Write Your Own Review", "Write a review"
"You may also be interested in the following product(s)", "You may also like"
"My Cart", "Go to Shopping Cart"
"Checkout with Multiple Addresses","Checkout with <span>Multiple Addresses</span>"
"Featured Products",""
"QUICK SHOP", "Achat express"
"Additional Information", "Fiche technique"
"Write Your Own Review", "Donnez votre avis !"
"Recent Reviews", "Avis récent"
"Special price description", "Prix spécial vente-groupée.fr valable du <strong>%s</strong> au <strong>%s</strong>."
"From Blog", "Sur le Blog :"
"Sign Up for Newsletters","Inscrivez-vous à notre newsletter !"
"Clear Shopping Cart", "Effacer mon panier"
"Checkout with Multiple Addresses","Expedier vers <span>Plusieurs adresses</span>"
"Free Shipping","Livraison gratuite"
"Shopping Cart", "Mon pannier"
"My Cart", "Voir mon pannier"
"View cart &amp; checkout", "Passer ma commande"
"%s was successfully added to your shopping cart.", "%s a été ajouté au pannier."
"Checkout", "Commande"
"My account", "Mon compte"
"Blog Categories", "Nos thèmes"
"Recent Posts", "Articles récents"
"Posted by", "Par"
"Tag Cloud", "Mots clés"
"Recent Comments", "Commentaires récents"
"Commented by", "Par"
"Comment by", "Par"
"Leave Your Comment", "Laissez un commentaire"
"Share this post", "Partagez cet article"
"Required Field", "Champs requis"
"time", "Date"
"Popular Categories", "Catégories populaires"
"and above", "et plus"
"My Applications", "Mes applications"
"You have no applications.", "Oooops! Aucune application pour le moment."
"Recent Reviews", "Avis récents"
